,population,households,office,income,nationaltax,localtax,agriculturalout,forestryprod,landing,factory,industryamount,employer,storesales,powerconsum,deposit,publicexpense,houses,cars,educationalamount,booksales,newspapersales,tv,phone,posting
Hokkaido,5650573,2522295,270504,145293,1379098,546638,10579,463.7,761331,10668,51199,2796200,20247834,11256,336487,1611254,49183,3720320,945495,177154,2235101,1652081,6154045,650837
Aomori,1479358,551806,74341,32498,242730,131442,2402,88.2,107727,3188,10997,731000,3693933,2671,70174,324170,8971,999912,264053,40213,531167,470546,1384375,114626
Iwate,1405060,488354,72456,34152,224269,123476,2587,193.4,108752,4126,20209,715500,3525821,2631,76438,339411,8906,983234,277808,35185,471524,443942,1300483,114618
Miyagi,2350026,856527,115297,61092,735121,245372,1870,76.1,373037,5782,32677,1169800,10933309,4396,125693,391923,19382,1557230,365365,70995,812314,719845,2525483,351549
Akita,1173722,410308,65300,27294,186373,97512,2208,123.2,5599,4130,11731,571000,2714120,2152,56790,328282,6664,831589,214608,30773,442938,385189,1087529,93834
Yamagata,1225990,387732,70523,29851,202270,107894,2349,62.5,4116,5971,26287,631400,2968623,2327,67083,363756,7088,920699,215490,29966,462638,371689,1127332,105540
Fukushima,2116210,716505,109652,56554,390824,210846,2640,149.7,51131,8494,49706,1052500,4898557,3922,113222,466686,13481,1550263,351941,56559,838845,616923,1991887,171140
Ibaraki,2991804,1039865,135383,86778,746384,320761,4194,79.7,173448,11160,96742,1555900,6574412,5721,190256,450254,23206,2365525,438782,74995,1201361,855602,3101445,245032
Tochigi,2006717,701919,103835,61184,425157,225878,2786,118.3,11282,10953,74427,1049600,5646460,3931,128826,382702,19484,1595447,295741,54373,827563,609461,2048136,183537
Gunma,2022780,719576,109637,59127,464797,209336,2210,131.3,3843,12898,69710,1063500,5362438,4086,147553,333528,17747,1706757,313757,62134,911181,624976,2117015,179973
Saitama,6980889,2660152,266775,186180,1355243,633293,2004,28,14422,28809,124108,3711500,15024770,13131,445037,903250,72126,3832929,832895,194648,2799644,2002571,7483994,1070397
Chiba,6001032,2348339,206793,184026,1704591,555876,4319,23.7,281435,10820,105257,3130600,12294183,11438,360828,646053,60471,3373580,736001,185226,2466991,1723500,6543652,678694
Tokyo,12082143,5776805,724769,498507,15801117,3936025,280,7.4,45242,49580,104363,6653800,176704287,27472,1915951,1841386,188302,4625157,1441757,651856,6204959,3760022,19903994,6571615
Kanagawa,8600109,3602950,309441,264122,3160545,880703,751,8.3,36807,18475,181354,4433600,20028848,16612,584015,948689,101084,3964137,963372,278248,3584938,2631293,10255787,1227549
Nigata,2455996,810483,142123,66880,530773,242825,3281,328.5,73953,14068,40669,1261400,7330619,4694,172060,664364,15668,1771751,395379,78228,857258,788506,2339482,315617
Toyama,1118661,367754,64734,33114,318907,116521,835,24.4,17797,5741,32461,593600,3305066,2465,97496,278946,7775,866263,184740,37306,454741,347764,1114307,119494
Ishikawa,1175071,417164,72638,33792,317154,125988,684,28.5,29363,8829,21648,632900,4280880,2652,92795,278602,9502,858386,200529,38809,488113,369504,1315585,156219
Fukui,824824,260744,52855,23962,179464,98482,597,24.9,9535,6217,15560,446100,2315651,1915,71145,194788,5856,635202,151988,23187,311684,242457,838121,79761
Yamanashi,882678,319146,52789,22807,187752,93218,823,16.3,3979,5417,21364,465000,1928163,1882,64533,245716,7025,720537,153883,25357,356942,280089,951727,109111
Nagano,2200896,777553,128969,60262,488468,224361,2425,536,2384,12478,53691,1189800,6464420,4768,180124,582792,15981,1844308,352944,62595,911926,726782,2346667,267783
Gifu,2106917,701408,122425,58868,443046,209845,1239,125.6,575,17084,44852,1110100,5234017,4349,179226,563226,14000,1626468,319052,58403,823934,628441,2228641,205592
Shizuoka,3773140,1347330,207923,121941,985478,452095,2582,145.6,151944,22593,153746,2042800,11266379,7685,304204,867838,34412,2751131,504035,111198,1477137,1171300,4094035,429026
Aichi,7027499,2634915,360358,243703,3401779,1008531,3259,42.9,93271,42281,344743,3808400,41525491,14596,637306,1007471,70316,4851772,867190,248864,2992935,2146138,8364374,1140096
Mie,1857773,672654,93292,55070,576682,208908,1266,96.1,128672,8372,75093,971300,3828670,3906,143158,415260,15601,1421670,273472,49243,791054,554418,1976787,207548
Shiga,1353893,460199,61941,43329,244889,141459,704,12.9,12620,5823,56171,700800,2543282,2809,97621,298574,12607,940723,232672,34451,539862,371495,1422760,132484
Kyoto,2565424,1048788,142119,73961,797590,249199,752,28.7,12236,15099,43694,1308300,7298154,5784,228896,457126,23413,1356068,339072,99948,1168330,775494,3041469,528908
Osaka,8651977,3657248,483964,267120,4958613,990905,362,5.1,46070,47403,146300,4342700,63063743,18797,824728,1294091,85977,3797449,1103702,339064,4095042,2436021,11932939,2225793
